mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,463.0608558654785,563.0407333374023,89.55597877502441
mps-uncap,0.9,1630.4657459259033,1195.7647800445557,4705.844879150391
mps-uncap,1.0,1233.8008880615234,4155.023097991943,12253.520727157593
mps-uncap,0.5,133.3789825439453,207.09490776062012,45.55320739746094
mps-uncap,0.6,238.783597946167,293.5671806335449,61.371803283691406
mps-uncap,0.7,249.47309494018555,397.6004123687744,114.54486846923828
mps-uncap,0.1,59.66377258300781,64.55206871032715,26.29876136779785
mps-uncap,0.2,61.80763244628906,74.80740547180176,40.58265686035156
mps-uncap,0.3,68.52579116821289,103.52039337158203,43.27511787414551
mps-uncap,0.4,86.54546737670898,111.76514625549316,40.396690368652344
