mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,156.3835620880127,258.5563659667969,44.26455497741699
mps-uncap,0.9,1345.5788612365723,787.0562791824341,4157.573175430298
mps-uncap,1.0,791.714072227478,3455.4474353790283,11118.52240562439
mps-uncap,0.5,49.01158809661869,84.7494125366211,17.65730381011963
mps-uncap,0.6,85.81900596618652,112.8079891204834,19.70076560974121
mps-uncap,0.7,92.43822097778335,167.74415969848633,36.18454933166504
mps-uncap,0.1,35.100460052490234,43.45142841339111,11.372685432434082
mps-uncap,0.2,35.55698394775392,47.223663330078125,14.658927917480469
mps-uncap,0.3,35.433197021484375,55.59577941894531,14.999294281005861
mps-uncap,0.4,36.791658401489265,62.1417760848999,15.371799468994139
