mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,44.138431549072266,60.23097038269043,20.463228225708008
mps-uncap,0.9,51.99456214904785,62.5457763671875,22.32050895690918
mps-uncap,1.0,47.798871994018555,69.11683082580566,23.74887466430664
mps-uncap,0.5,39.90650177001953,57.553768157958984,22.324323654174805
mps-uncap,0.6,43.709516525268555,58.498382568359375,20.50018310546875
mps-uncap,0.7,42.615652084350586,62.056779861450195,23.209095001220703
mps-uncap,0.1,48.28023910522461,61.151981353759766,20.668745040893555
mps-uncap,0.2,40.33088684082031,51.373958587646484,23.189544677734375
mps-uncap,0.3,41.36037826538086,57.53493309020996,22.83930778503418
mps-uncap,0.4,40.377140045166016,57.20162391662598,22.432804107666016
