mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,42.298104763031006,58.69932174682617,15.76941013336182
mps-uncap,0.9,43.90276908874512,55.48533916473389,18.814742565155026
mps-uncap,1.0,39.45932388305664,59.7611427307129,17.853605747222893
mps-uncap,0.5,37.869980335235596,56.35295867919921,16.4042568206787
mps-uncap,0.6,41.44103050231933,56.89198970794679,15.056753158569336
mps-uncap,0.7,39.35825347900389,58.508563041687005,17.405831813812252
mps-uncap,0.1,43.5605525970459,53.920960426330545,14.837245941162111
mps-uncap,0.2,36.723220348358154,47.96725273132325,15.090525150299083
mps-uncap,0.3,39.022183418273926,55.77740192413333,15.386672019958464
mps-uncap,0.4,36.83113336563112,53.42449188232422,15.823755264282223
