mode,load,0_efficientnet_b5-16,1_efficientnet_b7-16,2_mobilenet_v3_small-32
mps-uncap,0.8,35.48872470855713,51.4073371887207,8.152484893798828
mps-uncap,0.9,41.0459041595459,50.47774314880371,10.545134544372559
mps-uncap,1.0,36.28969192504883,56.97453022003174,11.03508472442627
mps-uncap,0.5,19.402146339416504,36.80062294006348,6.641745567321777
mps-uncap,0.6,23.258686065673828,40.22789001464844,6.653547286987305
mps-uncap,0.7,30.45368194580078,45.079946517944336,7.578849792480469
mps-uncap,0.1,26.539087295532227,31.74149990081787,9.206652641296387
mps-uncap,0.2,20.389199256896973,31.7227840423584,9.215235710144043
mps-uncap,0.3,18.562912940979004,32.065391540527344,7.995367050170898
mps-uncap,0.4,18.634438514709473,32.74738788604736,7.270574569702148
