mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,212.75771611112827,89.00982063418525,1271.927175891614
mig,0.6,216.4415679036889,93.00073085414,1277.4566810118795
mps-uncap,0.7,263.5837674748851,107.69116650118363,1470.5694980874464
mig,0.7,248.18635108028025,104.96433376086979,1481.6003697250133
mps-uncap,0.8,293.746172091052,123.1405680458657,1694.418178078077
mig,0.8,286.0490578037227,120.86610052075764,1703.5244992150424
mps-uncap,0.9,329.11111700637844,141.42291709049977,1689.359724115344
mig,0.9,320.629201823767,135.49444155462263,1930.1769705285476
mps-uncap,1.0,361.72891931078203,152.5155535244322,1612.5367696458222
mig,1.0,357.22593694210354,149.92637625201064,2096.237044257803
mps-uncap,1.1,382.329463467631,157.8696066007644,1577.132331446111
mig,1.1,361.0739580719621,151.78319711846,2138.5940726174467
mps-uncap,1.2,425.3796788855717,155.21429193075957,1497.4163419753727
mig,1.2,360.89452770790933,152.0117389712024,2144.0492126702998
mps-uncap,1.3,428.7366518404721,154.8179496255091,1493.5277516156095
mig,1.3,357.4875676087342,150.88190754801687,2089.8441144925496
