mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,77.74278640747072,125.05395889282228,22.514982223510742
mig,0.6,106.17378234863278,144.4904422760009,14.084422588348412
mps-uncap,0.7,105.95238208770752,138.99024724960324,50.76877593994132
mig,0.7,166.39696359634388,172.20954895019509,19.699068069458008
mps-uncap,0.8,124.35989379882812,184.22505855560308,435.59603691101074
mig,0.8,218.09122800827026,409.167401790619,22.09275722503662
mps-uncap,0.9,155.00112771987915,294.50730323791504,10146.804201602932
mig,0.9,536.3693594932558,588.0116820335388,189.83259677886966
mps-uncap,1.0,244.4448828697206,732.7284955978394,20942.08044528961
mig,1.0,2361.2890625,1409.5443987846368,865.0939893722534
mps-uncap,1.1,325.9164190292359,5156.952652931213,28615.5881023407
mig,1.1,7676.203310489655,10396.712069511414,5973.36569070816
mps-uncap,1.2,1355.236887931824,15787.576627731323,36491.48034572602
mig,1.2,15610.923519134521,15767.24265575409,11076.98612689972
mps-uncap,1.3,7159.259879589081,17791.49188518524,40463.47522974014
mig,1.3,20522.97186374664,18512.54126548767,20486.431918144226
