mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,114.32409286499023,147.996187210083,40.57645797729492
mig,0.6,142.20166206359863,169.3711280822754,27.794361114501953
mps-uncap,0.7,125.61917304992676,167.09256172180176,81.52127265930176
mig,0.7,277.7438163757324,198.0273723602295,38.08736801147461
mps-uncap,0.8,195.281982421875,199.38087463378906,523.5559940338135
mig,0.8,281.91494941711426,515.2325630187988,34.96098518371582
mps-uncap,0.9,189.8186206817627,330.3239345550537,10210.45446395874
mig,0.9,591.1459922790527,617.7322864532471,261.7812156677246
mps-uncap,1.0,292.9525375366211,760.5893611907959,21144.69623565674
mig,1.0,2462.4829292297363,1452.042818069458,888.5459899902344
mps-uncap,1.1,402.01711654663086,5269.015550613403,28834.07235145569
mig,1.1,7757.580041885376,10489.78328704834,6032.976150512695
mps-uncap,1.2,1456.5963745117188,15931.769132614136,36890.506982803345
mig,1.2,15752.090454101562,15801.178693771362,11151.739835739136
mps-uncap,1.3,7273.065090179443,17881.65831565857,40884.05537605286
mig,1.3,20691.219091415405,18582.655429840088,20756.880521774292
