mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,26.94725990295411,39.604425430297844,8.0132007598877
mig,0.6,49.23343658447268,58.69259834289552,5.317211151123047
mps-uncap,0.7,38.00630569458008,60.28854846954346,19.340419769287113
mig,0.7,72.16928005218506,76.85399055480957,7.189035415649416
mps-uncap,0.8,52.99043655395508,89.42606449127203,215.39545059204116
mig,0.8,101.66060924530035,161.41178607940674,9.914517402648931
mps-uncap,0.9,69.01681423187256,166.52154922485352,9512.045311927794
mig,0.9,295.8659172058105,347.25630283355713,42.03822612762456
mps-uncap,1.0,124.15778636932374,554.8047542572021,19056.621837615967
mig,1.0,2127.568483352661,1154.4021606445312,646.3791370391846
mps-uncap,1.1,192.51909255981442,4461.039304733276,26168.437886238098
mig,1.1,6638.784885406494,9212.52040863037,5517.3176527023315
mps-uncap,1.2,1115.788459777832,14856.59658908844,33069.59156990051
mig,1.2,14692.702579498291,14603.164100646976,10273.061990737915
mps-uncap,1.3,6709.589123725891,16023.892545700071,36696.96686267853
mig,1.3,18771.79756164551,17088.542079925537,18395.214080810547
