mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,17.342329025268555,21.40641212463379,1.7096996307373047
mig,0.6,21.859169006347656,26.095867156982422,1.7783641815185547
mps-uncap,0.7,17.2271728515625,21.483182907104492,1.745462417602539
mig,0.7,21.877765655517578,26.051759719848633,1.7545223236083984
mps-uncap,0.8,17.597198486328125,20.769834518432617,1.7147064208984375
mig,0.8,21.85678482055664,26.09086036682129,1.77764892578125
mps-uncap,0.9,17.70186424255371,21.602869033813477,1.8117427825927734
mig,0.9,21.90685272216797,26.122570037841797,1.7864704132080078
mps-uncap,1.0,17.7152156829834,21.974802017211914,1.8050670623779297
mig,1.0,22.019624710083008,26.162385940551758,1.802682876586914
mps-uncap,1.1,17.779827117919922,21.561384201049805,1.8393993377685547
mig,1.1,22.841930389404297,26.248693466186523,1.8191337585449219
mps-uncap,1.2,17.93837547302246,23.32139015197754,1.8820762634277344
mig,1.2,22.042036056518555,26.205062866210938,1.825571060180664
mps-uncap,1.3,20.079612731933594,24.024248123168945,2.191781997680664
mig,1.3,22.0339298248291,26.178836822509766,1.80816650390625
