mode,load,0_efficientnet_b6-8,1_efficientnet_b7-4,2_squeezenet1_1-4
mps-uncap,0.6,134.10139083862305,170.92037200927734,42.264461517333984
mig,0.6,165.7867431640625,196.2442398071289,29.61587905883789
mps-uncap,0.7,142.86351203918457,196.40040397644043,83.42409133911133
mig,0.7,299.81350898742676,224.20620918273926,39.94035720825195
mps-uncap,0.8,213.34266662597656,226.15432739257812,525.9876251220703
mig,0.8,304.63266372680664,542.208194732666,37.0025634765625
mps-uncap,0.9,208.8775634765625,356.1978340148926,10213.233232498169
mig,0.9,613.121509552002,644.545316696167,263.99803161621094
mps-uncap,1.0,311.6800785064697,787.0345115661621,21158.589839935303
mig,1.0,2484.4579696655273,1478.2445430755615,890.3400897979736
mps-uncap,1.1,420.64452171325684,5292.099475860596,28853.932857513428
mig,1.1,7779.664754867554,10516.036748886108,6034.788131713867
mps-uncap,1.2,1475.4085540771484,15958.488702774048,36912.25576400757
mig,1.2,15774.091720581055,15827.362775802612,11153.545141220093
mps-uncap,1.3,7291.589260101318,17908.757209777832,40903.47862243652
mig,1.3,20714.221954345703,18609.699010849,20774.930000305176
