mode,load,0_densenet161-8,1_densenet169-4,2_mobilenet_v3_small-16
mps-uncap,0.8,231.01253509521501,192.38722324371338,1213.117504119873
mps-uncap,0.9,722.9650020599372,2104.236888885498,7873.323583602904
mps-uncap,1.0,6676.409959793091,6690.774869918823,12198.522138595581
mps-uncap,0.5,51.35760307312012,50.8542537689209,15.791654586791992
mps-uncap,0.6,65.76740741729736,65.99149703979494,23.611450195312507
mps-uncap,0.7,96.92549705505371,93.67246627807617,68.95217895507812
mps-uncap,0.1,30.67946434020996,31.21926784515381,14.256834983825684
mps-uncap,0.2,31.443881988525394,30.765128135681152,12.752342224121096
mps-uncap,0.3,33.734798431396484,32.89272785186768,11.217546463012695
mps-uncap,0.4,40.35983085632326,40.668916702270515,12.728500366210938
