mode,load,0_densenet161-8,1_densenet169-4,2_mobilenet_v3_small-16
mps-uncap,0.8,418.83287730937616,211.1353372278151,3642.441061894234
mps-uncap,0.9,459.216879720363,230.9768377626486,3518.331580470761
mps-uncap,1.0,470.45925362533296,235.72460317663953,3623.0685869815416
mps-uncap,0.5,270.548326505594,130.50348479068592,2263.7944477836186
mps-uncap,0.6,312.95677617811504,159.8437919788331,2820.5794843232693
mps-uncap,0.7,358.05516482453686,185.52600889517515,3299.250991326508
mps-uncap,0.1,50.51279020265155,26.766307184785223,468.2179288071234
mps-uncap,0.2,102.74449200374941,51.26523518082601,919.1217307958331
mps-uncap,0.3,156.50432778230004,81.01295087501803,1384.9219586944907
mps-uncap,0.4,205.2266664517591,104.7356545901298,1843.2850680815432
