mode,load,0_densenet161-8,1_densenet169-4,2_mobilenet_v3_small-16
mps-uncap,0.8,349.08294677734375,338.8350009918213,1379.2970180511475
mps-uncap,0.9,956.0165405273438,2624.465227127075,8645.089387893677
mps-uncap,1.0,6993.229150772095,7598.634243011475,13432.166576385498
mps-uncap,0.5,124.53699111938477,87.4783992767334,35.985469818115234
mps-uncap,0.6,149.0042209625244,173.61736297607422,65.38224220275879
mps-uncap,0.7,226.9878387451172,195.56045532226562,163.0842685699463
mps-uncap,0.1,55.04608154296875,33.701181411743164,27.35137939453125
mps-uncap,0.2,54.10194396972656,49.474477767944336,29.352188110351562
mps-uncap,0.3,52.1550178527832,42.79947280883789,31.1737060546875
mps-uncap,0.4,82.72266387939453,94.75946426391602,31.313657760620117
