mode,load,0_densenet161-8,1_densenet169-4,2_mobilenet_v3_small-16
mps-uncap,0.8,0.012874603271484375,0.012874603271484375,0.012874603271484375
mps-uncap,0.9,0.0133514404296875,0.01430511474609375,0.01239776611328125
mps-uncap,1.0,0.017404556274414062,0.018358230590820312,0.013113021850585938
mps-uncap,0.5,0.01049041748046875,0.012636184692382812,0.010013580322265625
mps-uncap,0.6,0.010251998901367188,0.010251998901367188,0.009775161743164062
mps-uncap,0.7,0.011205673217773438,0.01239776611328125,0.010251998901367188
mps-uncap,0.1,0.012636184692382812,0.01239776611328125,0.012874603271484375
mps-uncap,0.2,0.01239776611328125,0.012159347534179688,0.010013580322265625
mps-uncap,0.3,0.012159347534179688,0.012159347534179688,0.01049041748046875
mps-uncap,0.4,0.01239776611328125,0.01239776611328125,0.009775161743164062
