mode,load,0_densenet161-8,1_densenet169-4,2_mobilenet_v3_small-16
mps-uncap,0.8,17.935657501220703,18.253326416015625,4.648447036743164
mps-uncap,0.9,18.00181865692139,17.627573013305664,5.116915702819824
mps-uncap,1.0,17.46821403503418,17.29559898376465,4.914665222167969
mps-uncap,0.5,18.819522857666016,18.247103691101078,5.3261518478393555
mps-uncap,0.6,18.49672794342041,18.744230270385742,4.702138900756836
mps-uncap,0.7,18.57137680053711,18.495559692382812,4.644632339477539
mps-uncap,0.1,29.69670295715332,30.14695644378662,9.741783142089844
mps-uncap,0.2,19.950294494628906,20.677065849304203,8.460140228271484
mps-uncap,0.3,19.170284271240234,18.91946792602539,6.7646026611328125
mps-uncap,0.4,18.78495216369629,18.291282653808594,5.595898628234863
