mode,load,0_efficientnet_b5-32,1_squeezenet1_0-8,2_vgg16-8
mps-uncap,0.6,283.20902110299795,854.4877895520723,238.05454503918074
mig,0.6,304.27451423880825,876.5943726494932,237.84293310730826
mps-uncap,0.7,349.4005059152793,1000.6902659707113,277.95484234318326
mig,0.7,352.9620748444961,1031.9748771156878,284.8457162942709
mps-uncap,0.8,403.1718907045395,1173.7076757040736,320.64075438859487
mig,0.8,383.66671854803195,1187.6122976403776,320.17957651194814
mps-uncap,0.9,460.2112515758665,1334.308667157327,352.61674663595915
mig,0.9,458.7965681931988,1334.9646968475254,355.22430177277414
mps-uncap,1.0,523.246678022724,1252.7285269316003,398.62900109114014
mig,1.0,498.15747383750124,1459.0243720606034,398.3880363660982
mps-uncap,1.1,539.6801011206476,1101.1016945991057,444.5266858606205
mig,1.1,500.2961549975333,1469.9521804473318,398.73466730255984
mps-uncap,1.2,571.8300445043249,911.6716843123918,479.6302716138889
mig,1.2,494.0816020154721,1473.2533505567367,399.1858087269078
mps-uncap,1.3,558.6497600438524,867.9542322982154,513.0082749346487
mig,1.3,498.35928610169964,1467.7680953561903,398.1683548986208
