mode,load,0_efficientnet_b5-32,1_squeezenet1_0-8,2_vgg16-8
mps-uncap,0.6,86.18168830871579,17.601203918457056,15.1721715927124
mig,0.6,191.51744842529297,16.15366935729981,59.6853256225586
mps-uncap,0.7,107.88345336914065,30.055046081542976,18.999814987182617
mig,0.7,254.48811054229742,21.34363651275635,70.51148414611816
mps-uncap,0.8,144.63875293731692,75.8781909942627,21.603035926818848
mig,0.8,303.2798528671265,31.991243362426758,120.49860954284668
mps-uncap,0.9,205.1937341690064,481.28514289855957,24.5591402053833
mig,0.9,773.5572814941406,63.66453170776371,170.5222606658936
mps-uncap,1.0,392.589807510376,12945.202112197876,29.77714538574218
mig,1.0,2338.0055904388432,338.6492729187012,1272.6490497589111
mps-uncap,1.1,625.3767728805543,27000.323486328125,36.131858825683594
mig,1.1,9841.553163528444,8190.368390083313,7944.53489780426
mps-uncap,1.2,6427.808046340942,40007.26337432861,42.33274459838867
mig,1.2,13388.599872589111,13121.058225631714,14408.81896018982
mps-uncap,1.3,13024.245834350588,44202.77626514434,49.13489818573
mig,1.3,16965.989875793457,18977.003383636475,18765.17415046692
