mode,load,0_efficientnet_b5-32,1_squeezenet1_0-8,2_vgg16-8
mps-uncap,0.6,108.20519685745238,33.87645244598388,15.08616209030154
mig,0.6,243.49596977233887,24.613037109374996,84.69360828399657
mps-uncap,0.7,133.7695574760436,55.771889686584466,22.073721885681117
mig,0.7,326.1125206947321,34.77742433547974,101.92004680633548
mps-uncap,0.8,184.2557859420777,202.57813930511466,26.129179000854514
mig,0.8,424.3790245056152,59.517574310302656,193.05867195129414
mps-uncap,0.9,278.8337945938111,867.0933818817138,32.107019424438406
mig,0.9,1415.4303050041187,99.41664695739735,283.51758003234863
mps-uncap,1.0,539.906907081604,13822.034263610838,46.604437828063745
mig,1.0,2599.2168378829956,452.94938087463373,1693.0588841438296
mps-uncap,1.1,877.4407291412347,28560.845680236816,54.37201261520386
mig,1.1,10482.462892532354,8857.39812374115,8789.608120918274
mps-uncap,1.2,7623.154258728028,43726.94252490997,60.635423660278256
mig,1.2,15410.3360414505,14555.984520912163,15970.448303222649
mps-uncap,1.3,15471.295745372772,49039.87421274185,68.77387046813953
mig,1.3,19190.37720680237,21010.44249534607,20782.951254844666
