mode,load,0_resnet18-32,1_alexnet-4,2_densenet201-2
mps-uncap,1.0,5.6629180908203125,0.7805824279785156,21.34537696838379
mig,1.0,8.768796920776367,1.6095638275146484,20.26081085205078
