mode,load,0_resnet18-32,1_alexnet-4,2_densenet201-2
mps-uncap,1.0,0.0030994415283203125,0.016450881958007812,0.00286102294921875
mig,1.0,0.000476837158203125,0.00667572021484375,0.0069141387939453125
