mode,load,0_resnet18-32,1_alexnet-4,2_densenet201-2
mps-uncap,1.0,4740.567184614978,2345.3760163755037,78.50706623521802
mig,1.0,3296.4904858975647,2279.8215714680223,97.62403377956238
