mode,load,0_efficientnet_b5-4,1_efficientnet_b7-4,2_resnet152-16
mps-uncap,0.8,14.920473098754883,20.55191993713379,14.785289764404297
mps-uncap,0.9,14.83154296875,20.796537399291992,14.915227890014648
mps-uncap,1.0,15.236139297485352,21.399497985839844,15.110254287719727
mps-uncap,0.5,14.730691909790039,21.244049072265625,14.648914337158203
mps-uncap,0.6,14.983177185058594,20.921945571899414,14.678716659545898
mps-uncap,0.7,14.76907730102539,20.80082893371582,14.610528945922852
mps-uncap,0.1,15.19012451171875,20.892620086669922,14.690876007080078
mps-uncap,0.2,15.064716339111328,20.83563804626465,14.72783088684082
mps-uncap,0.3,15.118598937988281,20.78533172607422,14.714717864990234
mps-uncap,0.4,14.880657196044922,21.074533462524414,14.676094055175781
