mode,load,0_efficientnet_b5-4,1_efficientnet_b7-4,2_resnet152-16
mps-uncap,0.8,163.11873040426505,113.54759644447583,593.3711759986027
mps-uncap,0.9,184.09314742419764,118.74368215119077,645.7104297325903
mps-uncap,1.0,191.80110192504293,140.1535819209252,637.4850364437979
mps-uncap,0.5,102.54325484215003,65.55289140145842,350.3822087851073
mps-uncap,0.6,124.17063665786864,84.33108894593869,420.5231189882484
mps-uncap,0.7,146.64246465613243,95.77459709197905,476.5396513414169
mps-uncap,0.1,19.540025638782172,15.193648895232394,69.81233087966567
mps-uncap,0.2,41.79243471850433,27.885728466778655,141.18815297918263
mps-uncap,0.3,59.19603371106584,43.661190529064214,203.46210916908117
mps-uncap,0.4,79.0125226229586,55.71578823459686,283.9729254347016
