mode,load,0_efficientnet_b5-4,1_efficientnet_b7-4,2_resnet152-16
mps-uncap,0.8,23.626317977905273,34.37273979187012,24.7988224029541
mps-uncap,0.9,20.175242424011223,32.89908647537232,26.724634170532227
mps-uncap,1.0,22.702784538269043,29.217467308044437,26.499207019805908
mps-uncap,0.5,22.82865524291992,27.9538631439209,27.043275833129883
mps-uncap,0.6,22.868552207946774,27.948961257934567,27.05984592437744
mps-uncap,0.7,23.746900558471676,34.43580865859985,25.10225772857666
mps-uncap,0.1,35.04084825515748,40.297927856445305,33.25182914733886
mps-uncap,0.2,28.326833248138424,38.52956295013428,29.205501079559323
mps-uncap,0.3,27.30173587799072,31.64108037948609,24.233222007751465
mps-uncap,0.4,23.943178653717027,32.661962509155266,24.120316505432125
