mode,load,0_efficientnet_b5-4,1_efficientnet_b7-4,2_resnet152-16
mps-uncap,0.8,71.89965248107913,173.57041835784915,98.62852096557617
mps-uncap,0.9,93.16875934600829,300.18529891967796,394.30694580078125
mps-uncap,1.0,4866.224193572998,442.6604747772217,5216.409659385682
mps-uncap,0.5,21.69532775878912,24.265289306640625,23.627185821533203
mps-uncap,0.6,32.147669792175286,38.917589187622106,34.36546325683594
mps-uncap,0.7,46.39735221862793,71.64759635925293,42.658329010009766
mps-uncap,0.1,5.212187767028834,2.847146987915038,0.46195983886720016
mps-uncap,0.2,11.520028114318848,9.979248046875,9.41157341003418
mps-uncap,0.3,14.8223876953125,16.482663154602058,12.499475479125977
mps-uncap,0.4,15.253305435180664,21.851062774658203,16.726112365722663
