mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.6138124465942383,8.648302555084227,4.774351119995117
mps-uncap,0.9,1.6303062438964844,9.69089984893799,4.591667652130128
mps-uncap,1.0,1.7321109771728516,8.8887882232666,4.546880722045898
mps-uncap,0.5,1.622459888458252,11.62043571472168,6.889181137084958
mps-uncap,0.6,1.6417098045349117,9.83518600463867,5.923371315002443
mps-uncap,0.7,1.6625356674194336,9.401283264160154,5.051736831665036
mps-uncap,0.1,1.529135704040527,13.62767219543457,8.373022079467773
mps-uncap,0.2,1.5058517456054688,13.569974899291992,8.07525634765625
mps-uncap,0.3,1.5840339660644531,13.621482849121096,8.132569789886475
mps-uncap,0.4,1.6258001327514653,13.244817256927485,7.95870304107666
