mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,18.926620483398438,79.43058013916016,32.10282325744629
mps-uncap,0.9,30.89427947998047,187.93225288391113,62.03484535217285
mps-uncap,1.0,175.80294609069824,1217.4279689788818,1326.3695240020752
mps-uncap,0.5,9.291410446166992,29.903173446655273,30.16376495361328
mps-uncap,0.6,8.870601654052734,38.704872131347656,21.4388370513916
mps-uncap,0.7,15.922307968139648,40.6651496887207,34.26933288574219
mps-uncap,0.1,2.5472640991210938,17.98868179321289,15.465497970581055
mps-uncap,0.2,3.6237239837646484,32.16719627380371,24.985313415527344
mps-uncap,0.3,5.255937576293945,33.917903900146484,23.032426834106445
mps-uncap,0.4,5.589723587036133,33.663034439086914,25.90489387512207
