mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,5.180406570434571,23.232197761535648,12.637805938720703
mps-uncap,0.9,9.700298309326172,84.57860946655276,25.920057296752933
mps-uncap,1.0,133.16800594329834,1007.7241420745851,1192.3048973083496
mps-uncap,0.5,2.7577638626098637,16.902542114257812,11.18087768554688
mps-uncap,0.6,3.276634216308593,16.519975662231445,9.744596481323246
mps-uncap,0.7,4.198741912841797,18.07069778442383,10.848522186279297
mps-uncap,0.1,1.5290021896362305,14.81318473815918,9.616732597351074
mps-uncap,0.2,1.8254756927490239,20.49398422241211,12.729024887084963
mps-uncap,0.3,2.2855281829833984,19.086551666259766,13.58764171600342
mps-uncap,0.4,2.5577545166015625,17.883706092834466,12.550973892211914
