mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,10.183706283569336,44.692699909210205,18.04488182067871
mps-uncap,0.9,18.001551628112754,141.59850835800174,40.81437349319464
mps-uncap,1.0,166.00598335266113,1152.8424453735352,1288.7678623199463
mps-uncap,0.5,3.508391380310059,21.20620250701905,15.306177139282216
mps-uncap,0.6,4.4741988182067844,20.41556358337398,12.735421657562275
mps-uncap,0.7,6.72280788421631,24.632167816162106,15.225291252136227
mps-uncap,0.1,1.2363815307617174,11.601352691650394,8.61591100692749
mps-uncap,0.2,1.585168838500982,19.12965774536133,12.856388092041023
mps-uncap,0.3,2.3245620727539062,19.322462081909244,15.407252311706532
mps-uncap,0.4,2.800774574279787,20.8802819252014,15.948796272277834
