mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,2.5184154510498047,10.306119918823242,6.630897521972656
mps-uncap,0.9,2.4094581604003906,10.559558868408203,5.739688873291016
mps-uncap,1.0,2.5937557220458984,10.475635528564453,5.135297775268555
mps-uncap,0.5,2.3889541625976562,13.579845428466797,8.139610290527344
mps-uncap,0.6,2.4199485778808594,13.33928108215332,7.020235061645508
mps-uncap,0.7,2.5305747985839844,11.69276237487793,7.180213928222656
mps-uncap,0.1,1.8415451049804688,14.084815979003906,8.964300155639648
mps-uncap,0.2,2.340078353881836,17.95339584350586,8.682012557983398
mps-uncap,0.3,1.9195079803466797,14.864206314086914,9.111881256103516
mps-uncap,0.4,1.9750595092773438,13.775825500488281,9.125471115112305
