mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,11.460480690002441,51.51224613189697,21.728687286376957
mps-uncap,0.9,19.348306655883746,149.49807882308963,44.80628252029423
mps-uncap,1.0,167.4702501296997,1161.1146354675293,1292.9102993011475
mps-uncap,0.5,4.783499240875244,27.355403900146484,19.547252655029293
mps-uncap,0.6,5.772414207458486,27.367985248565507,16.649765968322768
mps-uncap,0.7,8.078360557556156,31.10293388366697,18.978619575500485
mps-uncap,0.1,2.4487161636352535,23.73089790344239,15.617072582244873
mps-uncap,0.2,2.753777503967287,29.5792579650879,18.88813018798829
mps-uncap,0.3,3.574285507202149,29.089317321777386,20.881290435791005
mps-uncap,0.4,4.081797599792482,28.76215219497679,20.749492645263672
