mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,0.9629726409912109,4.777669906616211,2.763032913208008
mps-uncap,0.9,0.98419189453125,4.731893539428711,2.7899742126464844
mps-uncap,1.0,1.0111331939697266,5.064487457275391,2.8378963470458984
mps-uncap,0.5,0.9944438934326172,4.783391952514648,2.782583236694336
mps-uncap,0.6,0.9908676147460938,4.72712516784668,2.7637481689453125
mps-uncap,0.7,0.9894371032714844,4.831075668334961,2.7298927307128906
mps-uncap,0.1,0.9949207305908203,4.897832870483398,2.808094024658203
mps-uncap,0.2,0.9653568267822266,4.9266815185546875,2.8324127197265625
mps-uncap,0.3,0.9915828704833984,4.784107208251953,2.7866363525390625
mps-uncap,0.4,0.9958744049072266,4.840612411499023,2.7837753295898438
