mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,4393.213837801187,395.900609034507,1509.3178811596717
mps-uncap,0.9,4922.2193222855085,441.4185287523766,1700.2987062882285
mps-uncap,1.0,5569.47785185473,482.04727377245996,1913.378254237759
mps-uncap,0.5,2818.4087768737854,249.45681389938974,950.8002946555375
mps-uncap,0.6,3397.946952082054,298.71262676368883,1135.8700234822484
mps-uncap,0.7,3948.318013054172,336.10974979773346,1338.5121648535135
mps-uncap,0.1,577.7421238576893,48.81310376409927,187.724549289979
mps-uncap,0.2,1123.830689394593,98.09536729065546,372.2042598577525
mps-uncap,0.3,1683.0393603151954,141.37421403390428,567.6597345995021
mps-uncap,0.4,2209.677108437934,195.86035207105675,764.2587106298249
