mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,0.9756088256835938,4.836559295654297,2.8171539306640625
mps-uncap,0.9,0.9980201721191406,4.810571670532227,2.8460025787353516
mps-uncap,1.0,1.0254383087158203,5.082130432128906,2.9675960540771484
mps-uncap,0.5,1.0046958923339844,4.828214645385742,2.8336048126220703
mps-uncap,0.6,1.0025501251220703,4.838228225708008,2.820730209350586
mps-uncap,0.7,1.001596450805664,4.87971305847168,2.753734588623047
mps-uncap,0.1,1.0073184967041016,4.91642951965332,2.836465835571289
mps-uncap,0.2,0.9806156158447266,4.973411560058594,2.852201461791992
mps-uncap,0.3,1.003265380859375,4.875421524047852,2.8553009033203125
mps-uncap,0.4,1.0058879852294922,4.904508590698242,2.859354019165039
