mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.4464855194091797,7.966160774230957,4.118680953979492
mps-uncap,0.9,1.4731884002685547,9.31692123413086,4.327535629272461
mps-uncap,1.0,1.5723705291748047,8.597373962402344,4.389858245849609
mps-uncap,0.5,1.432180404663086,9.28192138671875,5.542397499084474
mps-uncap,0.6,1.4476776123046875,8.376646041870117,4.803633689880371
mps-uncap,0.7,1.4710426330566406,8.204078674316406,4.29835319519043
mps-uncap,0.1,1.4250516891479492,12.781381607055664,7.755279541015625
mps-uncap,0.2,1.3886213302612305,12.754678726196289,7.582187652587891
mps-uncap,0.3,1.453399658203125,12.860870361328125,7.633638381958008
mps-uncap,0.4,1.46484375,11.320042610168457,6.853818893432617
