mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,2.0067691802978516,9.963631629943848,5.4340362548828125
mps-uncap,0.9,3.3385753631591797,25.66981315612793,9.039521217346191
mps-uncap,1.0,62.61849403381348,563.0857944488525,628.6180019378662
mps-uncap,0.5,1.4221668243408203,8.983612060546875,5.385398864746094
mps-uncap,0.6,1.505136489868164,8.289694786071777,4.788637161254883
mps-uncap,0.7,1.7385482788085938,8.496999740600586,4.785776138305664
mps-uncap,0.1,1.355290412902832,12.047767639160156,7.3070526123046875
mps-uncap,0.2,1.3434886932373047,12.267589569091797,7.3299407958984375
mps-uncap,0.3,1.4190673828125,11.740922927856445,7.328271865844727
mps-uncap,0.4,1.4452934265136719,9.511590003967285,6.109476089477539
