mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.2388229370117188,6.558060646057129,3.412485122680664
mps-uncap,0.9,1.3191699981689453,7.941603660583496,3.930330276489258
mps-uncap,1.0,1.4102458953857422,8.280515670776367,4.184246063232422
mps-uncap,0.5,1.241445541381836,7.565498352050781,4.557490348815918
mps-uncap,0.6,1.2278556823730469,6.429314613342285,3.499150276184082
mps-uncap,0.7,1.2357234954833984,6.534099578857422,3.3740997314453125
mps-uncap,0.1,1.294255256652832,11.890888214111328,7.084131240844727
mps-uncap,0.2,1.2545585632324219,11.862516403198242,6.941318511962891
mps-uncap,0.3,1.2850761413574219,9.369850158691406,6.162524223327637
mps-uncap,0.4,1.2819766998291016,8.106827735900879,4.771947860717773
