mode,load,0_alexnet-8,1_inception_v3-4,2_mobilenet_v3_large-8
mps-uncap,0.8,0.007152557373046875,0.009059906005859375,0.008344650268554688
mps-uncap,0.9,0.007152557373046875,0.01049041748046875,0.008821487426757812
mps-uncap,1.0,0.00762939453125,0.011444091796875,0.010967254638671875
mps-uncap,0.5,0.0073909759521484375,0.0095367431640625,0.008821487426757812
mps-uncap,0.6,0.007152557373046875,0.009298324584960938,0.009059906005859375
mps-uncap,0.7,0.0069141387939453125,0.010728836059570312,0.009298324584960938
mps-uncap,0.1,0.008344650268554688,0.011682510375976562,0.010728836059570312
mps-uncap,0.2,0.008821487426757812,0.012159347534179688,0.010967254638671875
mps-uncap,0.3,0.007867813110351562,0.012159347534179688,0.0095367431640625
mps-uncap,0.4,0.008821487426757812,0.010251998901367188,0.010967254638671875
