mode,load,0_mobilenet_v3_small-16,1_resnet50-4,2_vgg19-32
mps-uncap,0.8,693.4075869552563,123.02112303847558,1018.101437459913
mps-uncap,0.9,784.8287351082697,140.91208568111924,1232.8887336453336
mps-uncap,1.0,909.0008121366126,152.20186958178286,1307.3857390217433
mps-uncap,0.5,440.00383900715343,82.69782246642654,655.45946403989
mps-uncap,0.6,523.6153494594754,93.28372872025356,790.823685493857
mps-uncap,0.7,601.2971860595784,108.71398988606038,953.5109325269204
mps-uncap,0.1,83.00809679224767,15.605424107009004,125.76451903951589
mps-uncap,0.2,186.6373035540019,30.508592388388138,268.2431235514999
mps-uncap,0.3,267.8038069183585,50.16115814708747,409.1540919175603
mps-uncap,0.4,341.9289663355867,61.472484170014496,543.3453756367745
