mode,load,0_mobilenet_v3_small-16,1_resnet50-4,2_vgg19-32
mps-uncap,0.8,29.731488227844242,31.394243240356445,86.16297245025636
mps-uncap,0.9,79.22720909118652,95.61028480529788,274.01075363159185
mps-uncap,1.0,118.83187294006343,252.7095079421997,439.7641658782959
mps-uncap,0.5,8.211040496826195,9.791374206542969,26.48870944976808
mps-uncap,0.6,13.294291496276854,12.844753265380854,33.14118385314942
mps-uncap,0.7,17.028760910034183,22.203779220581055,66.0651206970215
mps-uncap,0.1,0.07176399230957031,0.07152557373046875,0.07295608520507812
mps-uncap,0.2,0.07348060607910163,0.06866455078125,11.63394451141357
mps-uncap,0.3,2.3720502853393532,0.09655952453613281,14.610528945922852
mps-uncap,0.4,4.704332351684572,4.261350631713879,22.298812866210938
