mode,load,0_vgg13-2,1_vgg13-2
mig,0.1,0.01049041748046875,0.010013580322265625
mig,0.2,0.01049041748046875,0.008821487426757812
mig,0.3,0.009298324584960938,0.009775161743164062
mig,0.4,0.009775161743164062,0.008821487426757812
mig,0.5,0.008821487426757812,0.00858306884765625
mig,0.6,0.00858306884765625,0.008344650268554688
mig,0.7,0.008344650268554688,0.008106231689453125
mig,0.8,0.00762939453125,0.008106231689453125
mig,0.9,0.008344650268554688,0.010967254638671875
mig,1.0,0.00762939453125,0.01049041748046875
