mode,load,0_vgg19-16,1_vgg19-16,2_vgg19-16,3_vgg19-16
mig,0.1,40.93280538618323,42.03040768620737,41.83239294175246,19.92809789967189
mig,0.2,72.46063721386525,77.20539275705985,78.78615741668433,45.3649933700114
mig,0.3,115.39084030957451,115.31443308829347,129.26237460843413,59.16261785180887
mig,0.4,154.96228004203462,144.82054171805615,163.4719841261663,87.50656665623507
mig,0.5,210.58837514431903,198.64098998569568,192.6823400639317,87.82587027290843
mig,0.6,233.75095727039792,224.2470474936633,234.02934804242204,117.81771570249514
mig,0.7,288.067582165468,263.8372612835414,258.84876351966386,134.68807793107322
mig,0.8,331.00286877252944,324.4204630650745,307.9081926016287,166.3078120541184
mig,0.9,369.20371979144085,349.8508241494814,348.01129500292313,194.53060845551255
mig,1.0,399.9911340137288,397.38287320264413,390.2623944022292,203.47106027869998
