mode,load,0_inception_v3-8,1_inception_v3-8,2_inception_v3-8,3_inception_v3-8
mig,0.1,14.85605239868165,13.578319549560547,13.719415664672853,20.122051239013672
mig,0.2,18.848419189453125,19.317674636840827,18.578815460205078,25.870466232299812
mig,0.3,19.498586654663086,20.414686203002937,19.463491439819343,31.50177001953125
mig,0.4,19.997024536132812,20.71900367736816,20.129799842834466,33.63981246948242
mig,0.5,22.95451164245606,23.80642890930176,23.510885238647464,45.54181098937989
mig,0.6,27.364635467529293,29.27272319793701,27.5956153869629,49.992942810058594
mig,0.7,37.22739219665527,38.276147842407234,37.784576416015625,68.63343715667725
mig,0.8,53.11288833618165,57.363796234130824,47.2811222076416,105.16209602355957
mig,0.9,112.00094223022461,81.82165622711183,129.78203296661377,132.40785598754877
mig,1.0,1066.2009716033936,581.7594528198242,597.8116512298584,879.5578479766847
