mode,load,0_inception_v3-8,1_inception_v3-8,2_inception_v3-8,3_inception_v3-8
mig,0.1,12.158870697021484,11.827945709228516,11.937141418457031,17.132282257080078
mig,0.2,12.272953987121582,12.068986892700195,12.036561965942383,17.104387283325195
mig,0.3,11.64555549621582,11.414885520935059,11.630535125732422,17.08221435546875
mig,0.4,10.01286506652832,10.097980499267578,9.64820384979248,17.089486122131348
mig,0.5,10.075211524963379,10.126829147338867,10.254383087158203,18.494844436645508
mig,0.6,12.838363647460938,13.237714767456055,12.374401092529297,23.785114288330078
mig,0.7,15.68758487701416,16.70229434967041,15.63715934753418,27.907133102416992
mig,0.8,21.967649459838867,20.68483829498291,19.417762756347656,40.90762138366699
mig,0.9,35.83836555480957,32.41312503814697,43.36750507354736,54.75950241088867
mig,1.0,884.2597007751465,140.2432918548584,280.00497817993164,284.54339504241943
