mode,load,0_inception_v3-8,1_inception_v3-8,2_inception_v3-8,3_inception_v3-8
mig,0.1,83.03808784935947,81.21773564283949,83.03652867677685,47.51494585969448
mig,0.2,170.57625801167595,170.8767144626204,164.89189458099847,97.00768213805965
mig,0.3,251.36864922065953,255.76007340718905,244.01347207518782,137.10474482955496
mig,0.4,333.4117079272539,339.2209324153323,333.1205090490603,182.05701487860983
mig,0.5,409.46681746105764,419.6478980958054,421.0740783396293,240.50276960954682
mig,0.6,510.4935675947394,507.46635639398426,503.2477975123831,280.92637043649586
mig,0.7,592.5645122723195,582.8406624724705,573.7803101549155,327.0959211510576
mig,0.8,688.5933513753014,656.8514027412468,655.9883397355533,382.7356433170149
mig,0.9,771.4229002534614,749.5999892194994,772.5209076767737,409.36555914151455
mig,1.0,852.6557281487956,825.0888332433403,843.1950392819475,458.84392706228374
