mode,load,0_efficientnet_b5-4,1_efficientnet_b5-4
mig,0.1,40.21814027550874,39.23047396682078
mig,0.2,84.95448676937691,84.00619983977857
mig,0.3,131.77146799492974,116.92758226068013
mig,0.4,167.83469092342503,159.53326647617382
mig,0.5,221.91218917935987,202.0981424430644
mig,0.6,253.7483530448344,254.58180761956413
mig,0.7,264.15786606401656,261.8165395738324
mig,0.8,260.6020507716481,258.81013497575884
mig,0.9,261.82913577307187,257.4681629107756
mig,1.0,259.04454627007607,262.1873863763038
