mode,load,0_efficientnet_b5-4,1_efficientnet_b5-4
mig,0.1,32.43660926818848,34.53469276428223
mig,0.2,27.518272399902344,27.556657791137695
mig,0.3,19.22464370727539,26.942014694213867
mig,0.4,19.120216369628906,19.685029983520508
mig,0.5,19.009113311767578,18.205881118774414
mig,0.6,20.19500732421875,18.851757049560547
mig,0.7,18.980026245117188,19.63186264038086
mig,0.8,19.08397674560547,18.143653869628906
mig,0.9,19.188880920410156,18.827438354492188
mig,1.0,20.81298828125,19.814491271972656
