mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,5.901575088500977,30.974507331848145,12.064695358276367
mig,0.6,5.793213844299316,30.154943466186523,12.363433837890625
mps-uncap,0.7,7.151126861572266,38.68699073791504,16.16978645324707
mig,0.7,6.90770149230957,35.84444522857666,15.620589256286621
mps-uncap,0.8,9.994268417358398,50.30393600463867,22.45926856994629
mig,0.8,9.192943572998047,57.78360366821289,19.919276237487793
mps-uncap,0.9,19.573211669921875,74.40638542175293,44.722795486450195
mig,0.9,15.691995620727539,83.93025398254395,34.32059288024902
mps-uncap,1.0,360.71717739105225,1531.7682027816772,997.1494674682617
mig,1.0,132.88068771362305,475.2776622772217,298.76601696014404
mps-uncap,1.1,3263.0012035369873,5006.957292556763,4483.656644821167
mig,1.1,3847.1171855926514,2535.066843032837,3092.7703380584717
mps-uncap,1.2,6995.865821838379,9066.742897033691,8246.860265731812
mig,1.2,6157.4506759643555,6463.270425796509,7937.025785446167
mps-uncap,1.3,9496.782422065735,11549.447417259216,10832.305192947388
mig,1.3,9078.172206878662,10051.077008247375,10784.944772720337
