mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,35.45045852661133,210.35504341125488,68.23539733886719
mig,0.6,32.713890075683594,171.86331748962402,103.99532318115234
mps-uncap,0.7,58.57563018798828,211.35377883911133,107.13028907775879
mig,0.7,56.0610294342041,225.88729858398438,122.63607978820801
mps-uncap,0.8,64.06617164611816,346.04334831237793,166.12815856933594
mig,0.8,52.55484580993652,618.9210414886475,121.93894386291504
mps-uncap,0.9,161.85951232910156,372.00927734375,234.17329788208008
mig,0.9,92.00429916381836,489.74108695983887,206.21275901794434
mps-uncap,1.0,760.167121887207,2614.0685081481934,2261.4526748657227
mig,1.0,336.41839027404785,1404.306173324585,787.4226570129395
mps-uncap,1.1,6286.91840171814,7325.050115585327,8720.439910888672
mig,1.1,7811.496734619141,5612.708330154419,6954.385042190552
mps-uncap,1.2,13392.562627792358,16105.05199432373,16622.660160064697
mig,1.2,12346.97699546814,12408.572435379028,14721.644163131714
mps-uncap,1.3,18874.282598495483,22473.70672225952,22004.608631134033
mig,1.3,18184.253454208374,21226.230144500732,21789.55030441284
