mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,4.0435791015625,20.855426788330078,8.453607559204102
mig,0.6,3.966093063354492,20.590782165527344,8.428812026977539
mps-uncap,0.7,3.9870738983154297,20.779132843017578,8.539915084838867
mig,0.7,3.991842269897461,20.45607566833496,8.446931838989258
mps-uncap,0.8,4.024982452392578,20.90144157409668,8.521318435668945
mig,0.8,3.902435302734375,20.792722702026367,8.397102355957031
mps-uncap,0.9,4.107475280761719,20.925045013427734,8.591175079345703
mig,0.9,4.020452499389648,20.68018913269043,8.480072021484375
mps-uncap,1.0,4.023313522338867,20.75672149658203,8.588552474975586
mig,1.0,3.9772987365722656,20.662546157836914,8.385896682739258
mps-uncap,1.1,3.99017333984375,20.876169204711914,8.525609970092773
mig,1.1,4.059314727783203,20.662784576416016,8.383989334106445
mps-uncap,1.2,4.020214080810547,20.71237564086914,8.632659912109375
mig,1.2,3.965616226196289,20.791053771972656,8.495569229125977
mps-uncap,1.3,4.019021987915039,20.920515060424805,8.577585220336914
mig,1.3,3.9663314819335938,20.59197425842285,8.545875549316406
