mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,4.6108245849609375,22.708630561828613,9.36746597290039
mig,0.6,4.472851753234863,22.039151191711426,9.307575225830078
mps-uncap,0.7,4.445385932922364,22.597646713256836,9.313058853149414
mig,0.7,4.390478134155273,21.758437156677246,9.158563613891602
mps-uncap,0.8,4.424715042114258,22.697734832763672,9.218931198120117
mig,0.8,4.248857498168945,21.9818115234375,9.051156044006348
mps-uncap,0.9,4.46629524230957,22.75385856628418,9.246826171875
mig,0.9,4.335880279541016,21.905183792114258,9.117984771728516
mps-uncap,1.0,4.34565544128418,22.44575023651123,9.210753440856934
mig,1.0,4.242181777954102,21.669960021972656,8.916378021240234
mps-uncap,1.1,4.302024841308594,22.519636154174805,9.082269668579102
mig,1.1,4.331827163696289,21.573781967163086,8.896207809448242
mps-uncap,1.2,4.334211349487305,22.293663024902344,9.227466583251953
mig,1.2,4.218816757202148,21.72064781188965,8.977174758911133
mps-uncap,1.3,4.335880279541016,22.51589298248291,9.148597717285156
mig,1.3,4.230046272277833,21.568822860717773,9.044647216796875
