mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,31.32486343383789,188.4632110595703,59.52262878417969
mig,0.6,28.6407470703125,150.80022811889648,95.40891647338867
mps-uncap,0.7,54.170846939086914,189.82720375061035,97.94020652770996
mig,0.7,51.995038986206055,204.83899116516113,113.94453048706055
mps-uncap,0.8,59.92627143859863,324.02896881103516,157.21988677978516
mig,0.8,48.558950424194336,596.9774723052979,113.4042739868164
mps-uncap,0.9,157.4079990386963,350.8298397064209,225.3704071044922
mig,0.9,87.89801597595215,468.92786026000977,197.59702682495117
mps-uncap,1.0,755.988359451294,2592.7422046661377,2251.8463134765625
mig,1.0,332.26776123046875,1382.5371265411377,778.9528369903564
mps-uncap,1.1,6280.919790267944,7304.00276184082,8711.564302444458
mig,1.1,7804.166316986084,5591.894626617432,6945.940017700195
mps-uncap,1.2,13384.537696838379,16082.226991653442,16613.508462905884
mig,1.2,12342.968702316284,12384.377002716064,14712.660551071167
mps-uncap,1.3,18863.476753234863,22451.580286026,21991.7631149292
mig,1.3,18180.002689361572,21202.792644500732,21780.285835266113
