mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,1.6283988952636719,9.273886680603027,3.297090530395508
mig,0.6,1.6331672668457031,9.067773818969727,3.6351680755615234
mps-uncap,0.7,2.956509590148926,16.994595527648926,7.252693176269531
mig,0.7,2.758502960205078,14.892578125,6.848335266113281
mps-uncap,0.8,5.800485610961914,28.307437896728516,13.570785522460938
mig,0.8,5.145549774169922,36.388397216796875,11.256694793701172
mps-uncap,0.9,15.299320220947266,52.29353904724121,35.78662872314453
mig,0.9,11.516332626342773,62.56091594696045,25.49290657043457
mps-uncap,1.0,356.5558195114136,1510.8275413513184,988.2054328918457
mig,1.0,128.7696361541748,454.4377326965332,290.1991605758667
mps-uncap,1.1,3258.947253227234,4985.700964927673,4474.986553192139
mig,1.1,3842.9893255233765,2513.951063156128,3084.2586755752563
mps-uncap,1.2,6991.643905639648,9044.314622879028,8238.07144165039
mig,1.2,6153.434038162231,6442.2643184661865,7928.485631942749
mps-uncap,1.3,9492.719292640686,11527.42600440979,10823.61626625061
mig,1.3,9073.933959007263,10029.467940330505,10776.08060836792
