mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,12.924814224243166,73.75915050506593,26.153564453125
mig,0.6,12.534379959106445,66.00108146667482,27.810525894165057
mps-uncap,0.7,16.059064865112305,89.50054645538331,38.56532573699951
mig,0.7,16.036415100097653,82.65936374664307,37.142729759216316
mps-uncap,0.8,24.6795654296875,129.26883697509763,65.90080261230469
mig,0.8,23.467063903808594,208.5667610168458,48.510074615478516
mps-uncap,0.9,53.09510231018067,199.3095874786377,124.135160446167
mig,0.9,42.395830154418945,205.36117553710938,86.56296730041505
mps-uncap,1.0,660.606360435486,2345.582675933838,1987.5972270965576
mig,1.0,233.7586879730225,1087.1358394622803,601.3203382492067
mps-uncap,1.1,5605.546832084656,6473.639202117919,7701.6650676727295
mig,1.1,7128.789782524109,5249.75368976593,6496.38638496399
mps-uncap,1.2,12041.345596313477,14620.030879974367,15078.376960754395
mig,1.2,10938.653707504272,11307.764720916748,12903.316307067871
mps-uncap,1.3,17115.996432304382,20644.768595695496,19926.41520500183
mig,1.3,16536.674165725708,19116.516375541687,19470.52459716797
