mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,17.41170883178711,35.37344932556152,19.52815055847168
mig,0.6,7.989645004272461,25.32505989074707,21.043777465820312
mps-uncap,0.7,18.479347229003906,27.197599411010742,19.98448371887207
mig,0.7,15.795707702636719,29.974937438964844,21.010637283325195
mps-uncap,0.8,17.5173282623291,35.44163703918457,20.817995071411133
mig,0.8,13.770818710327148,28.564453125,20.421981811523438
mps-uncap,0.9,13.992071151733398,27.56953239440918,22.017478942871094
mig,0.9,14.63174819946289,28.000354766845703,20.421743392944336
mps-uncap,1.0,15.923500061035156,35.45856475830078,21.408796310424805
mig,1.0,17.519712448120117,27.854442596435547,22.3846435546875
mps-uncap,1.1,17.673969268798828,33.07938575744629,20.51830291748047
mig,1.1,15.206575393676758,34.81030464172363,22.266149520874023
mps-uncap,1.2,18.52583885192871,32.90104866027832,20.735502243041992
mig,1.2,10.790586471557617,28.679609298706055,22.865772247314453
mps-uncap,1.3,17.88926124572754,35.89177131652832,21.870851516723633
mig,1.3,14.234542846679688,31.15987777709961,21.860837936401367
