mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,0.011444091796875,0.014543533325195312,0.011920928955078125
mig,0.6,0.011444091796875,0.01430511474609375,0.014066696166992188
mps-uncap,0.7,0.01239776611328125,0.01430511474609375,0.011682510375976562
mig,0.7,0.011920928955078125,0.01430511474609375,0.01430511474609375
mps-uncap,0.8,0.011205673217773438,0.014781951904296875,0.011920928955078125
mig,0.8,0.011682510375976562,0.014781951904296875,0.012159347534179688
mps-uncap,0.9,0.011682510375976562,0.014781951904296875,0.013113021850585938
mig,0.9,0.011682510375976562,0.0133514404296875,0.014066696166992188
mps-uncap,1.0,0.011920928955078125,0.01621246337890625,0.015497207641601562
mig,1.0,0.013828277587890625,0.0152587890625,0.014543533325195312
mps-uncap,1.1,0.013828277587890625,0.019311904907226562,0.020742416381835938
mig,1.1,0.015735626220703125,0.01811981201171875,0.02002716064453125
mps-uncap,1.2,0.01430511474609375,0.025510787963867188,0.014066696166992188
mig,1.2,0.015735626220703125,0.021457672119140625,0.0152587890625
mps-uncap,1.3,0.014543533325195312,0.020742416381835938,0.024318695068359375
mig,1.3,0.01430511474609375,0.019073486328125,0.019550323486328125
