mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,5.369901657104492,24.119257926940918,10.286092758178711
mig,0.6,5.237340927124027,23.153367042541504,10.405817031860352
mps-uncap,0.7,4.95147705078125,23.65191698074341,9.92496967315674
mig,0.7,4.873800277709962,22.626543045043945,9.769103527069092
mps-uncap,0.8,4.8894548416137695,23.597469329833984,9.725439548492428
mig,0.8,4.621732234954834,22.878389358520508,9.55958604812622
mps-uncap,0.9,4.883289337158203,23.67979049682617,9.67612981796265
mig,0.9,4.675416946411134,22.649657726287842,9.576616287231445
mps-uncap,1.0,4.813680648803709,23.361318111419674,9.648642539978027
mig,1.0,4.5676612854003915,22.47781753540039,9.352338314056395
mps-uncap,1.1,4.799365997314453,23.393115997314453,9.471549987792969
mig,1.1,4.616260528564453,22.274115085601803,9.319357872009277
mps-uncap,1.2,4.812574386596679,23.258395195007335,9.635419845581055
mig,1.2,4.548978805541992,22.416758537292484,9.43230152130127
mps-uncap,1.3,4.839353561401367,23.49708080291748,9.567618370056152
mig,1.3,4.56341028213501,22.296345233917233,9.50239181518555
