mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,4.235506057739258,21.80004119873047,8.818864822387695
mig,0.6,4.136085510253906,21.268129348754883,8.778810501098633
mps-uncap,0.7,4.175901412963867,21.680116653442383,8.919715881347656
mig,0.7,4.161834716796875,21.144390106201172,8.780837059020996
mps-uncap,0.8,4.190206527709961,21.714448928833008,8.864164352416992
mig,0.8,4.043340682983398,21.408557891845703,8.704185485839844
mps-uncap,0.9,4.252195358276367,21.713733673095703,8.901596069335938
mig,0.9,4.148006439208984,21.31938934326172,8.789539337158203
mps-uncap,1.0,4.139423370361328,21.340370178222656,8.811473846435547
mig,1.0,4.080295562744141,20.99752426147461,8.551478385925293
mps-uncap,1.1,4.100322723388672,21.443843841552734,8.699893951416016
mig,1.1,4.168272018432617,20.92444896697998,8.535385131835938
mps-uncap,1.2,4.132509231567383,21.236419677734375,8.856534957885742
mig,1.2,4.067182540893555,21.062612533569336,8.643865585327148
mps-uncap,1.3,4.132747650146484,21.443605422973633,8.766651153564453
mig,1.3,4.074811935424805,20.89834213256836,8.714675903320312
