mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,1096.7538485267264,56.515768487171464,273.4548262140911
mig,0.6,1142.7767238551037,55.87173221117696,271.22018589720534
mps-uncap,0.7,1306.57509281793,65.5036790525363,320.8738899149249
mig,0.7,1296.2237580894703,64.93758020847125,323.3543964150738
mps-uncap,0.8,1510.8666093283077,73.38269092614627,364.5241636475166
mig,0.8,1543.2073892967774,77.17183594880869,362.632465566355
mps-uncap,0.9,1704.9738270330854,81.24806429322012,413.988921422475
mig,0.9,1714.2365318105478,85.19686127176249,409.86839845857804
mps-uncap,1.0,1888.4555203523275,92.16005617020926,448.4962111381678
mig,1.0,1926.3120259941393,92.86247952877045,459.3948951179839
mps-uncap,1.1,1926.692601156222,92.26014418066627,454.67765597811547
mig,1.1,1902.471045920627,94.73257873386467,463.39369813159465
mps-uncap,1.2,1911.8900374383043,93.27621195222268,447.14457026941403
mig,1.2,1949.1225328421424,94.17466007068064,458.2898590625391
mps-uncap,1.3,1911.6691297339098,92.3641598490106,451.62299199124686
mig,1.3,1945.8920427692724,94.91351116044859,454.6665941823388
