mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,8.675813674926758,52.03773975372316,17.426252365112305
mig,0.6,8.415460586547852,45.134139060974135,19.00696754455569
mps-uncap,0.7,11.876058578491214,67.77665615081791,29.61065769195558
mig,0.7,11.867284774780273,61.78116798400879,28.305959701538093
mps-uncap,0.8,20.483732223510746,107.43532180786131,57.06071853637695
mig,0.8,19.416093826293945,187.6042842864991,39.76902961730957
mps-uncap,0.9,48.88486862182617,177.35795974731448,115.13900756835938
mig,0.9,38.25926780700683,184.45014953613284,77.77957916259766
mps-uncap,1.0,656.4879179000854,2324.323105812073,1978.8842916488647
mig,1.0,229.6951293945313,1066.2399768829348,592.6378965377809
mps-uncap,1.1,5601.483368873596,6452.507257461548,7693.037796020509
mig,1.1,7124.391102790832,5228.772473335266,6487.740707397461
mps-uncap,1.2,12037.280797958374,14599.03349876404,15069.603776931763
mig,1.2,10934.62061882019,11286.37981414795,12894.496774673462
mps-uncap,1.3,17111.910581588745,20623.191833496094,19917.66119003296
mig,1.3,16532.47036933899,19095.834827423092,19461.84053421021
