mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,23.246059417724616,139.67077970504764,47.224807739257834
mig,0.6,21.241414546966574,142.2532248497009,56.114940643310604
mps-uncap,0.7,28.54553699493401,140.90115547180176,69.83096361160281
mig,0.7,29.95102882385254,141.59656763076782,79.30314779281593
mps-uncap,0.8,42.10458278656008,242.0341873168949,115.42596817016576
mig,0.8,36.84687614440919,573.6491632461548,84.96885061264034
mps-uncap,0.9,114.43306922912592,302.35511779785156,198.08737277984625
mig,0.9,69.23475265502931,334.71537828445423,166.29344940185533
mps-uncap,1.0,713.9874362945557,2543.6780309677124,2200.0109338760376
mig,1.0,307.03603744506836,1311.6792964935305,738.3452963829039
mps-uncap,1.1,6228.530623912811,7235.003206729889,8585.848269462585
mig,1.1,7736.369092464447,5536.107897758484,6908.754396438599
mps-uncap,1.2,13265.598487854004,15806.800727844238,16395.69903373718
mig,1.2,12232.652759552,12235.356326103212,14564.721784591675
mps-uncap,1.3,18616.439123153687,22325.4087805748,21671.462893486023
mig,1.3,18011.51393413544,21047.365977764126,21635.965008735657
