mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,4.080533981323242,20.91240882873535,8.504867553710938
mig,0.6,3.998279571533203,20.72882652282715,8.477449417114258
mps-uncap,0.7,4.026174545288086,20.939350128173828,8.586645126342773
mig,0.7,4.03285026550293,20.607709884643555,8.487224578857422
mps-uncap,0.8,4.065752029418945,21.09384536743164,8.590459823608398
mig,0.8,3.9453506469726562,20.903348922729492,8.43954086303711
mps-uncap,0.9,4.146337509155273,21.02375030517578,8.680105209350586
mig,0.9,4.055261611938477,20.826101303100586,8.57400894165039
mps-uncap,1.0,4.072904586791992,21.155595779418945,8.713483810424805
mig,1.0,4.035234451293945,20.7366943359375,8.489847183227539
mps-uncap,1.1,4.2209625244140625,21.971702575683594,9.48476791381836
mig,1.1,4.479408264160156,21.094083786010742,9.31239128112793
mps-uncap,1.2,4.434823989868164,24.396181106567383,9.074687957763672
mig,1.2,4.295110702514648,22.222280502319336,8.665084838867188
mps-uncap,1.3,4.431009292602539,23.481369018554688,9.751319885253906
mig,1.3,4.264116287231445,21.17180824279785,9.361743927001953
