mode,load,0_mobilenet_v3_small-8,1_efficientnet_b7-2,2_inception_v3-4
mps-uncap,0.6,18.88554573059082,117.88298606872564,38.37797641754153
mig,0.6,17.103648185729995,121.13667488098143,47.358055114746136
mps-uncap,0.7,24.402689933776852,119.42636966705324,60.905346870422385
mig,0.7,25.76356887817384,119.98684406280535,70.55674552917458
mps-uncap,0.8,37.914571762085,220.2197933197027,106.53369426727262
mig,0.8,32.79631137847908,551.7356014251709,76.2358427047729
mps-uncap,0.9,110.05845546722396,280.317792892456,189.41652297973633
mig,0.9,65.11904716491699,313.6233639717102,157.4453258514404
mps-uncap,1.0,709.7905516624448,2522.6662659645076,2191.298027038574
mig,1.0,303.00771713256836,1290.8184051513674,729.8346424102782
mps-uncap,1.1,6224.466280937195,7212.682857513428,8577.165951728823
mig,1.1,7732.151746749878,5514.8564076423645,6900.243294239044
mps-uncap,1.2,13261.479902267454,15785.002665519714,16386.552801132202
mig,1.2,12228.460073471068,12213.885526657106,14555.98738193512
mps-uncap,1.3,18611.959912776947,22304.06095981598,21662.533164024353
mig,1.3,18007.45388031006,21026.568982601166,21627.172651290894
